schema,object,constraint,referenced_schema,referenced_object,definition
ppiq_meta,definition_dependencies,fk_definition_dependencies_from,ppiq_meta,definition_store,FOREIGN KEY (definition_id) REFERENCES ppiq_meta.definition_store(id) ON DELETE RESTRICT
ppiq_meta,definition_dependencies,fk_definition_dependencies_to,ppiq_meta,definition_store,FOREIGN KEY (depends_on_definition_id) REFERENCES ppiq_meta.definition_store(id) ON DELETE RESTRICT
ppiq_meta,definition_export_artifacts,fk_definition_export_artifacts_version,ppiq_meta,definition_versions,FOREIGN KEY (definition_version_id) REFERENCES ppiq_meta.definition_versions(id) ON DELETE CASCADE
ppiq_meta,definition_versions,fk_definition_versions_store,ppiq_meta,definition_store,FOREIGN KEY (definition_id) REFERENCES ppiq_meta.definition_store(id) ON DELETE RESTRICT
ppiq_meta,feature_set_details,fk_feature_set_details_version,ppiq_meta,definition_versions,FOREIGN KEY (definition_version_id) REFERENCES ppiq_meta.definition_versions(id) ON DELETE CASCADE
ppiq_meta,job_run_histories,fk_job_run_histories_job_definitions_job_definition_id,ppiq_meta,job_definitions,FOREIGN KEY (job_definition_id) REFERENCES ppiq_meta.job_definitions(id) ON DELETE CASCADE
ppiq_meta,kpi_definitions,fk_kpi_definitions_schema_view_definitions_schema_view_definit,ppiq_meta,schema_view_definitions,FOREIGN KEY (schema_view_definition_id) REFERENCES ppiq_meta.schema_view_definitions(id) ON DELETE SET NULL
ppiq_meta,kpi_parameter_bindings,fk_kpi_parameter_bindings_aggregation_override,ppiq_meta,aggregation_kinds,FOREIGN KEY (aggregation_kind_override) REFERENCES ppiq_meta.aggregation_kinds(aggregation_kind)
ppiq_meta,kpi_parameter_bindings,fk_kpi_parameter_bindings_tenant,ppiq_meta,tenants,FOREIGN KEY (tenant_id) REFERENCES ppiq_meta.tenants(id)
ppiq_meta,kpi_parameter_bindings,kpi_parameter_bindings_parameter_definition_id_fkey,ppiq_meta,parameter_definitions,FOREIGN KEY (parameter_definition_id) REFERENCES ppiq_meta.parameter_definitions(id)
ppiq_meta,log_rule_details,fk_log_rule_details_version,ppiq_meta,definition_versions,FOREIGN KEY (definition_version_id) REFERENCES ppiq_meta.definition_versions(id) ON DELETE CASCADE
ppiq_meta,mapping_definitions,fk_mapping_definitions_source_system_definitions_source_system,ppiq_meta,source_system_definitions,FOREIGN KEY (source_system_definition_id) REFERENCES ppiq_meta.source_system_definitions(id) ON DELETE RESTRICT
ppiq_meta,material_unit_type_definitions,fk_material_unit_type_definitions_industry_templates_industry_,ppiq_meta,industry_templates,FOREIGN KEY (industry_template_id) REFERENCES ppiq_meta.industry_templates(id) ON DELETE RESTRICT
ppiq_meta,ml_learning_runs_v1,ml_learning_runs_v1_job_code_fkey,ppiq_meta,ml_learning_job_catalog_v1,FOREIGN KEY (job_code) REFERENCES ppiq_meta.ml_learning_job_catalog_v1(job_code)
ppiq_meta,model_details,fk_model_details_version,ppiq_meta,definition_versions,FOREIGN KEY (definition_version_id) REFERENCES ppiq_meta.definition_versions(id) ON DELETE CASCADE
ppiq_meta,operation_definitions,fk_operation_definitions_industry_templates_industry_template_,ppiq_meta,industry_templates,FOREIGN KEY (industry_template_id) REFERENCES ppiq_meta.industry_templates(id) ON DELETE RESTRICT
ppiq_meta,outcome_details,fk_outcome_details_version,ppiq_meta,definition_versions,FOREIGN KEY (definition_version_id) REFERENCES ppiq_meta.definition_versions(id) ON DELETE CASCADE
ppiq_meta,page_definition_shares,page_definition_shares_page_definition_id_fkey,ppiq_meta,page_definitions,FOREIGN KEY (page_definition_id) REFERENCES ppiq_meta.page_definitions(id) ON DELETE CASCADE
ppiq_meta,page_details,fk_page_details_version,ppiq_meta,definition_versions,FOREIGN KEY (definition_version_id) REFERENCES ppiq_meta.definition_versions(id) ON DELETE CASCADE
ppiq_meta,parameter_definitions,fk_parameter_definitions_aggregation_kind,ppiq_meta,aggregation_kinds,FOREIGN KEY (aggregation_kind) REFERENCES ppiq_meta.aggregation_kinds(aggregation_kind)
ppiq_meta,parameter_definitions,fk_parameter_definitions_sampling_basis,ppiq_meta,sampling_bases,FOREIGN KEY (sampling_basis) REFERENCES ppiq_meta.sampling_bases(sampling_basis)
ppiq_meta,parameter_definitions,fk_parameter_definitions_signal_kind,ppiq_meta,signal_kinds,FOREIGN KEY (signal_kind) REFERENCES ppiq_meta.signal_kinds(signal_kind)
ppiq_meta,parameter_definitions,fk_parameter_definitions_tenant,ppiq_meta,tenants,FOREIGN KEY (tenant_id) REFERENCES ppiq_meta.tenants(id)
ppiq_meta,plant_relationship_members,plant_relationship_members_relationship_id_fkey,ppiq_meta,plant_relationships,FOREIGN KEY (relationship_id) REFERENCES ppiq_meta.plant_relationships(id) ON DELETE CASCADE
ppiq_meta,plant_relationships,plant_relationships_source_definition_id_fkey,ppiq_meta,definition_store,FOREIGN KEY (source_definition_id) REFERENCES ppiq_meta.definition_store(id) ON DELETE RESTRICT
ppiq_meta,ppiq_auth_users,ppiq_auth_users_tenant_id_fkey,ppiq_meta,ppiq_tenants,FOREIGN KEY (tenant_id) REFERENCES ppiq_meta.ppiq_tenants(id) ON DELETE RESTRICT
ppiq_meta,ppiq_business_key_members,ppiq_business_key_members_definition_id_fkey,ppiq_meta,ppiq_business_key_definitions,FOREIGN KEY (definition_id) REFERENCES ppiq_meta.ppiq_business_key_definitions(id) ON DELETE CASCADE
ppiq_meta,ppiq_closure_runtime_probe_results,ppiq_closure_runtime_probe_results_task_id_fkey,ppiq_meta,ppiq_mostly_green_task_closure,FOREIGN KEY (task_id) REFERENCES ppiq_meta.ppiq_mostly_green_task_closure(task_id)
ppiq_meta,ppiq_connector_backfill_jobs,ppiq_connector_backfill_jobs_connector_id_fkey,ppiq_meta,ppiq_plant_connectors,FOREIGN KEY (connector_id) REFERENCES ppiq_meta.ppiq_plant_connectors(id) ON DELETE CASCADE
ppiq_meta,ppiq_connector_schema_drift_events,ppiq_connector_schema_drift_events_connector_id_fkey,ppiq_meta,ppiq_plant_connectors,FOREIGN KEY (connector_id) REFERENCES ppiq_meta.ppiq_plant_connectors(id) ON DELETE CASCADE
ppiq_meta,ppiq_connector_tag_catalog,ppiq_connector_tag_catalog_connector_id_fkey,ppiq_meta,ppiq_plant_connectors,FOREIGN KEY (connector_id) REFERENCES ppiq_meta.ppiq_plant_connectors(id) ON DELETE CASCADE
ppiq_meta,ppiq_connector_truth_snapshots,ppiq_connector_truth_snapshots_connector_id_fkey,ppiq_meta,ppiq_plant_connectors,FOREIGN KEY (connector_id) REFERENCES ppiq_meta.ppiq_plant_connectors(id) ON DELETE CASCADE
ppiq_meta,ppiq_license_entitlement_projection,ppiq_license_entitlement_projection_license_artifact_id_fkey,ppiq_meta,ppiq_signed_license_artifacts,FOREIGN KEY (license_artifact_id) REFERENCES ppiq_meta.ppiq_signed_license_artifacts(id) ON DELETE CASCADE
ppiq_meta,ppiq_notification_deliveries,ppiq_notification_deliveries_channel_id_fkey,ppiq_meta,ppiq_notification_channels,FOREIGN KEY (channel_id) REFERENCES ppiq_meta.ppiq_notification_channels(id) ON DELETE RESTRICT
ppiq_meta,ppiq_refresh_tokens,ppiq_refresh_tokens_tenant_id_fkey,ppiq_meta,ppiq_tenants,FOREIGN KEY (tenant_id) REFERENCES ppiq_meta.ppiq_tenants(id) ON DELETE CASCADE
ppiq_meta,ppiq_refresh_tokens,ppiq_refresh_tokens_user_id_fkey,ppiq_meta,ppiq_auth_users,FOREIGN KEY (user_id) REFERENCES ppiq_meta.ppiq_auth_users(id) ON DELETE CASCADE
ppiq_meta,ppiq_schema_drift_events,ppiq_schema_drift_events_actual_snapshot_id_fkey,ppiq_meta,ppiq_source_schema_snapshots,FOREIGN KEY (actual_snapshot_id) REFERENCES ppiq_meta.ppiq_source_schema_snapshots(snapshot_id) ON DELETE SET NULL
ppiq_meta,ppiq_schema_drift_events,ppiq_schema_drift_events_expected_snapshot_id_fkey,ppiq_meta,ppiq_source_schema_snapshots,FOREIGN KEY (expected_snapshot_id) REFERENCES ppiq_meta.ppiq_source_schema_snapshots(snapshot_id) ON DELETE SET NULL
ppiq_meta,ppiq_scim_group_members,ppiq_scim_group_members_group_id_fkey,ppiq_meta,ppiq_scim_groups,FOREIGN KEY (group_id) REFERENCES ppiq_meta.ppiq_scim_groups(id) ON DELETE CASCADE
