schema,object,kind,logical_family,lifecycle,owner,purpose,creator_authority,primary_key,retention,rls,rls_forced,policy_count,naming,compatibility_state,classified_by
ppiq_meta,ppiq_open_format_export_bundles,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/620_v5_p13_deployment_dr_portability.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_p4_demo_features,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,"PRIMARY KEY (sample_index, feature_key)",UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_p4_demo_outcomes,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (sample_index),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_p4_demo_truth,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (feature_key),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_plant_connectors,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/560_v5_p07_plant_connector_breadth.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_private_model_endpoint_configs,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/680_pack_b5_private_model_gateway_ciso_controls.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_product_module_refactor_inventory,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/630_v5_p14_compliance_refactor_controls.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_purge_audit,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/750_forensics_audit_subsystem.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_purge_audit_id_seq,sequence,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,,UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_refresh_token_reuse_events,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/570_v5_p08_enterprise_identity_mfa_sessions.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_refresh_tokens,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/300_p01_p02_security_access_control_spine.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_retention_policies,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/630_v5_p14_compliance_refactor_controls.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_retention_run_logs,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/630_v5_p14_compliance_refactor_controls.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_role_permission_defaults,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/300_p01_p02_security_access_control_spine.sql,"PRIMARY KEY (role, permission)",UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_schema_drift_events,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/430_phase3_phase4_certification_mapping_health.sql,PRIMARY KEY (drift_event_id),UNCLASSIFIED,on,forced,1,conforming,none,none
