"RelativePath","Category","CategoryTitle","Classification","Extension","Lines","SizeBytes","SizeKB","LastWriteTime"
"Backend\PlantProcess.Application\Common\Time\PlantTimeContextResolver.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","58","1571","1.53","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Time\SystemClock.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","11","224","0.22","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Validation\Guard.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","37","1187","1.16","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Validation\ValidationFailure.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","9","174","0.17","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Validation\ValidationResult.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","31","873","0.85","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\Common\CommandMetadata.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","11","252","0.25","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\Common\QueryMetadata.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","8","171","0.17","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\DataQuality\RaiseDataQualityIssueCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","15","366","0.36","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\Materials\AddMaterialAliasCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","13","298","0.29","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\Materials\CreateGenealogyEdgeCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","16","411","0.4","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\Materials\CreateMaterialCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","18","458","0.45","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\PlantLayout\PlantLayoutDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","72","1766","1.72","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\Process\AddDowntimeEventCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","19","478","0.47","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\Process\AddParameterDefinitionCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","17","435","0.42","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\Process\AddParameterObservationCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","22","568","0.55","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\Process\AddProcessEventCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","18","445","0.43","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\Process\AddProcessStepCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","20","505","0.49","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\Quality\AddDefectCatalogCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","13","305","0.3","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\Quality\AddQualityEventCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","18","434","0.42","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\Quality\QualityReadDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","39","902","0.88","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Contracts\Readiness\ApplicationReadinessDto.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","90","2822","2.76","5/19/2026 12:04:58 PM"
"Backend\PlantProcess.Application\Dashboarding\Contracts\DashboardDefinitionDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","95","2391","2.33","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Dashboarding\Contracts\DashboardDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","185","5405","5.28","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Dashboarding\Contracts\DashboardMetadataDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","201","6550","6.4","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Dashboarding\Interfaces\IDashboardDefinitionService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Interface",".cs","70","2532","2.47","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Dashboarding\Interfaces\IDashboardMetadataService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Interface",".cs","13","344","0.34","5/19/2026 12:19:14 AM"
