"onDemoPath","page","route","controlType","label","classification","handler","file","line"
"no","pages/HistorianConnector","(component)","StandardButton","Browse tags","UNMOUNTED","browseTags","Frontend\PlantProcess.Web\src\pages\HistorianConnector\HistorianConnectorPage.tsx","207"
"no","pages/HistorianConnector","(component)","StandardButton","Read sample window","UNMOUNTED","readWindow","Frontend\PlantProcess.Web\src\pages\HistorianConnector\HistorianConnectorPage.tsx","208"
"no","pages/HistorianConnector","(component)","StandardButton","Create mapping hints","UNMOUNTED","createMappingHints","Frontend\PlantProcess.Web\src\pages\HistorianConnector\HistorianConnectorPage.tsx","209"
"no","pages/HistorianConnector","(component)","StandardP2Input","(no label)","UNMOUNTED","(event) => setEndpointUrl(event.target.value)","Frontend\PlantProcess.Web\src\pages\HistorianConnector\HistorianConnectorPage.tsx","194"
"no","pages/HistorianConnector","(component)","StandardP2Input","(no label)","UNMOUNTED","(event) => setNamespaceUri(event.target.value)","Frontend\PlantProcess.Web\src\pages\HistorianConnector\HistorianConnectorPage.tsx","198"
"no","pages/HistorianConnector","(component)","StandardP2Input","(no label)","UNMOUNTED","(event) => setPathPrefix(event.target.value)","Frontend\PlantProcess.Web\src\pages\HistorianConnector\HistorianConnectorPage.tsx","202"
"no","pages/HistorianConnector","(component)","StandardP2Input","(no label)","UNMOUNTED","() => setSelectedTags((current) => toggle(current, tag.tagPath))","Frontend\PlantProcess.Web\src\pages\HistorianConnector\HistorianConnectorPage.tsx","224"
"no","pages/MaterialInvestigation","(component)","form","(no label)","UNMOUNTED","resolveSql","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","356"
"no","pages/MaterialInvestigation","(component)","form","(no label)","UNMOUNTED","investigateMaterial","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","413"
"no","pages/MaterialInvestigation","(component)","StandardButton","(no label)","UNMOUNTED","refreshAll","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","264"
