"onDemoPath","route","page","controlType","label","classification","handler","file","line"
"YES","/materials/:materialUnitId","MaterialInvestigationPage","StandardButton","(no label)","HAS HANDLER","loadBusinessKeys","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","322"
"YES","/materials/:materialUnitId","MaterialInvestigationPage","StandardButton","(no label)","HAS HANDLER","runMappingLifecycle","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","338"
"YES","/materials/:materialUnitId","MaterialInvestigationPage","form","(no label)","HAS HANDLER","resolveSql","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","356"
"YES","/materials/:materialUnitId","MaterialInvestigationPage","StandardP2TextArea","(no label)","HAS HANDLER","(event) => setSqlText(event.target.value)","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","357"
"YES","/materials/:materialUnitId","MaterialInvestigationPage","StandardButton","(no label)","HAS HANDLER","loadGenealogy","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","379"
"YES","/materials/:materialUnitId","MaterialInvestigationPage","StandardButton","(no label)","HAS HANDLER","runMappingLifecycle","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","395"
"YES","/materials/:materialUnitId","MaterialInvestigationPage","form","(no label)","HAS HANDLER","investigateMaterial","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","413"
"YES","/materials/:materialUnitId","MaterialInvestigationPage","StandardP2Input","Enter a material key","HAS HANDLER","(event) => setMaterialKey(event.target.value)","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","414"
"YES","/prep/canvas","VisualJoinCanvasPage","StandardP2Button","(no label)","HAS HANDLER","() => addDataset(d)","Frontend\PlantProcess.Web\src\pages\Prep\VisualJoinCanvasPage.tsx","88"
"YES","/prep/canvas","VisualJoinCanvasPage","StandardP2Input","Definition name","HAS HANDLER","(e) => setName(e.target.value)","Frontend\PlantProcess.Web\src\pages\Prep\VisualJoinCanvasPage.tsx","103"
"YES","/prep/canvas","VisualJoinCanvasPage","StandardP2Button","Preview (dry-run)","HAS HANDLER","doPreview","Frontend\PlantProcess.Web\src\pages\Prep\VisualJoinCanvasPage.tsx","106"
"YES","/prep/canvas","VisualJoinCanvasPage","StandardP2Button","Publish version","HAS HANDLER","doPublish","Frontend\PlantProcess.Web\src\pages\Prep\VisualJoinCanvasPage.tsx","107"
"YES","/supervisor","SupervisorReportPage","StandardButton","Run review now","HAS HANDLER","onRun","Frontend\PlantProcess.Web\src\pages\DataIntegration\SupervisorReportPage.tsx","79"
"no","/advisory/value-realization","StandardP2Controls","button",");","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardP2Controls.tsx","26"
"no","/advisory/value-realization","StandardP2Controls","input",");","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardP2Controls.tsx","41"
"no","/advisory/value-realization","StandardP2Controls","select",");","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardP2Controls.tsx","53"
"no","/advisory/value-realization","StandardP2Controls","textarea",");","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardP2Controls.tsx","65"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Export PDF","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","490"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Run","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","839"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Download report","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","847"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Run","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","901"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Preview SQL","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","927"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Save view","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","928"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Save KPI","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","940"
"no","/correlations","MaterialAnalyticsPages","StandardButton","Engineer brief","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","973"
"no","(unreachable)","ActiveFilterChips","StandardButton","Remove filter","UNMOUNTED","() => clearFilter(key)","Frontend\PlantProcess.Web\src\components\ActiveFilterChips.tsx","49"
"no","(unreachable)","App","StandardButton","Retry connection","UNMOUNTED","retryBootstrap","Frontend\PlantProcess.Web\src\App.tsx","428"
"no","(unreachable)","AppLayout","StandardButton","(no label)","UNMOUNTED","() => setOpen((o) => !o)","Frontend\PlantProcess.Web\src\components\AppLayout.tsx","200"
"no","(unreachable)","AppLayout","StandardButton","(no label)","UNMOUNTED","toggleTheme","Frontend\PlantProcess.Web\src\components\AppLayout.tsx","306"
"no","(unreachable)","AppLayout","StandardButton","Logout","UNMOUNTED","logout","Frontend\PlantProcess.Web\src\components\AppLayout.tsx","338"
"no","(unreachable)","BidirectionalThread","StandardButton","(no label)","UNMOUNTED","() => { setActive(n.id); onNodeClick?.(n);","Frontend\PlantProcess.Web\src\components\analytics\BidirectionalThread.tsx","53"
"no","(unreachable)","BrandProofPanel","anchor","Engineer brief","UNMOUNTED","href:/brand/plantprocess-iq-engineer-brief.html","Frontend\PlantProcess.Web\src\components\brand\BrandProofPanel.tsx","53"
"no","(unreachable)","BrandProofPanel","anchor","Architecture diagram","UNMOUNTED","href:/brand/plantprocess-iq-architecture.svg","Frontend\PlantProcess.Web\src\components\brand\BrandProofPanel.tsx","57"
"no","(unreachable)","BrandProofSection","anchor","Open diagram","UNMOUNTED","href:/brand/plantprocess-iq-architecture.svg","Frontend\PlantProcess.Web\src\components\BrandProofSection.tsx","44"
"no","(unreachable)","BrandProofSection","anchor","Open brief","UNMOUNTED","href:/brand/plantprocess-iq-engineer-brief.html","Frontend\PlantProcess.Web\src\components\BrandProofSection.tsx","53"
"no","(unreachable)","CostAssumptionManagementPage","StandardP2Input","(no label)","UNMOUNTED","(event) => onChange({ ...value, [key]: Number(event.target.value)","Frontend\PlantProcess.Web\src\pages\ValueEvidence\CostAssumptionManagementPage.tsx","66"
"no","(unreachable)","CostAssumptionManagementPage","StandardP2Select","(no label)","UNMOUNTED","(event) => setLocaleCode(event.target.value as V5LocaleCode)","Frontend\PlantProcess.Web\src\pages\ValueEvidence\CostAssumptionManagementPage.tsx","159"
"no","(unreachable)","CostAssumptionManagementPage","StandardP2Input","(no label)","UNMOUNTED","(event) => setForm({ ...form, currency: event.target.value","Frontend\PlantProcess.Web\src\pages\ValueEvidence\CostAssumptionManagementPage.tsx","174"
"no","(unreachable)","CostAssumptionManagementPage","StandardButton","(no label)","UNMOUNTED","save.save","Frontend\PlantProcess.Web\src\pages\ValueEvidence\CostAssumptionManagementPage.tsx","211"
"no","(unreachable)","DemoAnalyticsPages.implementation","StandardButton","Refresh Truth","UNMOUNTED","truth.reload","Frontend\PlantProcess.Web\src\pages\PlatformOps\DemoAnalyticsPages.implementation.tsx","146"
