"Fingerprint","RelativePath","LineNumber","Category","RiskLevel","RefactorTrack","Evidence","Status"
"C7C8D6910D612770","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","46","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","(SELECT count(*) FROM public.ml_knowledge_base_items WHERE is_deleted = false) AS kb_items,","REMAINING_IN_API"
"4086000E4E02A049","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","47","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","EXISTS (SELECT 1 FROM pg_type WHERE typname = 'vector') AS pgvector_available;","REMAINING_IN_API"
"D9A696231344CF0D","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","71","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT feature_rows, outcome_rows, run_id FROM public.ppiq_ml_refresh_feature_store(@window_days);"",","REMAINING_IN_API"
"F3EC99FD2CF301A0","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","177","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","SELECT public.ppiq_ml_upsert_kb_item(","REMAINING_IN_API"
"3D3E22CA71336057","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","232","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","SELECT *","REMAINING_IN_API"
"3F87A1DFCCDA3154","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","261","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await ExecuteNonQueryAsync(","REMAINING_IN_API"
"737B3D93C4524D61","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","263","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT public.ppiq_ml_seed_foundation_catalog();"",","REMAINING_IN_API"
"1EA8C66D5F6C0C5A","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","286","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var reader = await command.ExecuteReaderAsync(cancellationToken);","REMAINING_IN_API"
"5CAFF60D95194D9F","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","306","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","private static async Task ExecuteNonQueryAsync(","REMAINING_IN_API"
"301E4F60389553EA","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","325","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await command.ExecuteNonQueryAsync(cancellationToken);","REMAINING_IN_API"
