"RelativePath","Category","CategoryTitle","Classification","Extension","Lines","SizeBytes","SizeKB","LastWriteTime"
"Backend\PlantProcess.Application\Analytics\Advanced\AdvancedReadiness.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","45","1771","1.73","6/3/2026 1:10:39 AM"
"Backend\PlantProcess.Application\Analytics\Advanced\AnalysisReadiness.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","48","1679","1.64","6/3/2026 1:10:39 AM"
"Backend\PlantProcess.Application\Analytics\Advanced\NullAdvancedResultWriter.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","12","461","0.45","6/3/2026 12:54:31 AM"
"Backend\PlantProcess.Application\Analytics\Calibration\CalibrationContracts.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","27","858","0.84","6/2/2026 6:44:09 PM"
"Backend\PlantProcess.Application\Analytics\Calibration\IRiskCalibrationProvider.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","6","224","0.22","6/2/2026 6:44:10 PM"
"Backend\PlantProcess.Application\Analytics\Calibration\RiskCalibrationService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","77","3077","3","6/2/2026 6:44:10 PM"
"Backend\PlantProcess.Application\Analytics\Contracts\CorrelationComputeDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","23","603","0.59","5/30/2026 4:32:49 PM"
"Backend\PlantProcess.Application\Analytics\Contracts\CorrelationDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","111","3027","2.96","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Analytics\Contracts\MaterialFeatureVector.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","125","3897","3.81","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Analytics\Contracts\MlReadinessDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","90","2534","2.47","5/21/2026 4:19:35 PM"
"Backend\PlantProcess.Application\Analytics\Contracts\NarrativeProviderDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","29","780","0.76","5/31/2026 12:39:01 PM"
"Backend\PlantProcess.Application\Analytics\Contracts\RiskPredictionDtos.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","70","1768","1.73","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Analytics\Contracts\StoreRiskScoreCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","18","416","0.41","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Analytics\Engines\CanonicalCorrelationEngine.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","18","911","0.89","6/4/2026 1:19:36 AM"
"Backend\PlantProcess.Application\Analytics\Engines\CorrelationEngineRegistry.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","30","1364","1.33","6/4/2026 1:19:36 AM"
"Backend\PlantProcess.Application\Analytics\Engines\ICorrelationEngine.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","14","589","0.58","6/4/2026 1:19:36 AM"
